Thickness,Na,TiO2_Th,Bulk_def,Temp,IF_def,Affinity,JsC,Voc,FF,PCE
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+09,3.70E+00,26.72664038,1.049784,81.9386,22.9897
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+09,3.90E+00,26.71643046,0.913171,82.8404,20.2103
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+09,4.10E+00,26.746275,0.708163,80.0173,15.1559
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+10,3.70E+00,26.72663846,1.049579,81.9448,22.9869
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+10,3.90E+00,26.71642861,0.91317,82.8404,20.2103
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+10,4.10E+00,26.74627325,0.708163,80.0173,15.1559
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+11,3.70E+00,26.72661921,1.047594,82.0044,22.9601
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+11,3.90E+00,26.71641014,0.91317,82.8399,20.2101
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+11,4.10E+00,26.7462558,0.708163,80.0172,15.1558
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+12,3.70E+00,26.72642673,1.032458,82.4199,22.7429
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+12,3.90E+00,26.71622543,0.913163,82.8353,20.2087
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.00E+02,1.00E+12,4.10E+00,26.74608128,0.708162,80.0163,15.1555
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+09,3.70E+00,26.72680315,1.006625,82.8429,22.2879
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+09,3.90E+00,26.71156209,0.87684,81.9155,19.1861
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+09,4.10E+00,26.74061196,0.673599,78.5963,14.1571
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+10,3.70E+00,26.72680099,1.006547,82.8382,22.285
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+10,3.90E+00,26.71156006,0.87684,81.9155,19.186
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+10,4.10E+00,26.74061005,0.673599,78.5963,14.1571
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+11,3.70E+00,26.7267794,1.005777,82.7445,22.2427
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+11,3.90E+00,26.71153978,0.876839,81.9151,19.1859
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+11,4.10E+00,26.74059095,0.673599,78.5962,14.1571
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+12,3.70E+00,26.72656349,0.997024,82.5763,22.0041
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+12,3.90E+00,26.71133706,0.876832,81.9111,19.1847
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.25E+02,1.00E+12,4.10E+00,26.74039996,0.673598,78.5954,14.1568
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+09,3.70E+00,26.72867678,0.963426,83.1311,21.4072
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+09,3.90E+00,26.70740962,0.839775,80.9003,18.1445
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+09,4.10E+00,26.73519431,0.639564,76.9453,13.1568
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+10,3.70E+00,26.72867436,0.963368,83.1258,21.4045
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+10,3.90E+00,26.7074074,0.839775,80.9002,18.1445
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+10,4.10E+00,26.73519223,0.639564,76.9453,13.1568
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+11,3.70E+00,26.72865015,0.962785,83.0741,21.3782
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+11,3.90E+00,26.70738526,0.839774,80.8999,18.1444
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+11,4.10E+00,26.73517143,0.639564,76.9452,13.1568
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+12,3.70E+00,26.72840809,0.957419,82.6397,21.1477
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+12,3.90E+00,26.70716383,0.839766,80.8965,18.1433
1.00E+00,1.00E+14,2.00E-02,1.00E+12,3.50E+02,1.00E+12,4.10E+00,26.73496344,0.639563,76.9445,13.1565
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+09,3.70E+00,26.72515104,1.049173,81.7931,22.9342
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+09,3.90E+00,26.71484545,0.913072,82.7723,20.1903
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+09,4.10E+00,26.74382836,0.708089,79.9545,15.141
